snapped_at,price,market_cap,total_volume
2021-09-19 00:00:00 UTC,9.590582740714600,197663658.62713900,1066159.4378021100
2021-09-20 00:00:00 UTC,9.473901117071870,195682724.46879100,393183.794881179
2021-09-21 00:00:00 UTC,8.7513812404628,180117883.63718400,1731362.4583740000
2021-09-22 00:00:00 UTC,8.41269690298505,173927686.02318500,1216390.1047688900
2021-09-23 00:00:00 UTC,8.6925456492716,178986653.4071820,1142989.1990451000
2021-09-24 00:00:00 UTC,9.309773872833800,191846159.18556300,2994679.5660842100
2021-09-25 00:00:00 UTC,8.52571833591,175396442.11473800,4559334.310115900
2021-09-26 00:00:00 UTC,8.23791066360933,169857897.64302000,728341.5577098780
2021-09-27 00:00:00 UTC,7.986923334885200,164647689.4985380,1276015.6734081900
2021-09-28 00:00:00 UTC,8.012573988767250,165552238.051173,1014676.8520045900
2021-09-29 00:00:00 UTC,8.501912831216880,175245263.146974,13047229.562182700
2021-09-30 00:00:00 UTC,8.209543429014020,169272870.20870400,2206290.1232544100
2021-10-01 00:00:00 UTC,8.22078550100159,169512075.8403780,1417851.4651361100
2021-10-02 00:00:00 UTC,8.614660312158980,177616295.7856950,1165538.2542362700
2021-10-03 00:00:00 UTC,8.631176553995280,177836164.15929000,1087163.5639161400
2021-10-04 00:00:00 UTC,8.917780260163210,183984774.01342300,2435330.152528410
2021-10-05 00:00:00 UTC,8.536214668593970,176031268.36474600,1406165.4165245800
2021-10-06 00:00:00 UTC,8.974490510773520,187970324.5293560,3513270.3525658700
2021-10-07 00:00:00 UTC,9.790083029700350,205735049.63536100,5333494.379756660
2021-10-08 00:00:00 UTC,18.547509752738700,389030820.34196800,781195650.5415570
2021-10-09 00:00:00 UTC,15.707403464707700,330715521.10065600,172157493.5809810
2021-10-10 00:00:00 UTC,14.720024687260100,310166151.08345000,59783002.13973980
2021-10-11 00:00:00 UTC,17.189105313054400,365779047.2742910,136918433.76088800
2021-10-12 00:00:00 UTC,15.360487262944300,323134837.68213700,120139691.34495700
2021-10-13 00:00:00 UTC,14.438893739665200,304606836.185319,44852542.447383000
2021-10-14 00:00:00 UTC,13.75338494474660,289410625.7613810,26526947.06132500
2021-10-15 00:00:00 UTC,13.887518569850500,292196449.9568110,37164808.37077980
2021-10-16 00:00:00 UTC,12.931978951171000,273198417.5312700,28921389.84756430
2021-10-17 00:00:00 UTC,12.942918546525300,273774273.5521400,24924408.356454100
2021-10-18 00:00:00 UTC,13.283863915061000,280291434.1503560,154744375.0668290
2021-10-19 00:00:00 UTC,13.006091881704200,274607402.8535180,33917130.91810470
2021-10-20 00:00:00 UTC,13.050529766508900,276846553.8854900,27416560.54017760
2021-10-21 00:00:00 UTC,13.320387778296300,282614596.49122000,18701678.967641200
2021-10-22 00:00:00 UTC,12.639373916801000,267684779.16218400,13319588.843597000
2021-10-23 00:00:00 UTC,12.464043387529100,263429202.72946700,9321530.871670130
2021-10-24 00:00:00 UTC,12.213360426511300,258245549.57639500,7461691.259678340
2021-10-25 00:00:00 UTC,11.483842866879600,242727277.94892600,6378444.107447620
2021-10-26 00:00:00 UTC,11.750162795405400,248216190.0337550,22504782.753649900
2021-10-27 00:00:00 UTC,11.337010633828000,241123997.67970800,12095452.135949700
2021-10-28 00:00:00 UTC,9.928743665463590,209824450.89431100,12227642.230472700
2021-10-29 00:00:00 UTC,10.476913261430800,221427823.98330900,18007133.020325400
2021-10-30 00:00:00 UTC,10.646530068537400,225285640.72306100,12033100.358681100
2021-10-31 00:00:00 UTC,10.32870653176390,218434786.80764100,14471568.981315400
2021-11-01 00:00:00 UTC,10.43554614441750,220888129.4677830,5878078.005860740
2021-11-02 00:00:00 UTC,11.893162735570900,241434695.1793130,29617885.352122900
2021-11-03 00:00:00 UTC,11.310872858381700,236064192.25111000,19239252.940072400
2021-11-04 00:00:00 UTC,11.613901474021400,245212113.95618300,47812202.57287340
2021-11-05 00:00:00 UTC,11.091999269436800,232984285.82427100,17326661.206666100
2021-11-06 00:00:00 UTC,10.736631091264100,227144863.25479500,5749922.774938040
2021-11-07 00:00:00 UTC,11.08757606094120,234373075.7899830,15134984.05332800
2021-11-08 00:00:00 UTC,11.314756983578300,239244694.32689300,8285113.493136130
2021-11-09 00:00:00 UTC,11.20595171951160,237366229.92407700,4575919.594418420
2021-11-10 00:00:00 UTC,13.994404013702900,298221026.59799600,223619230.2466670
2021-11-11 00:00:00 UTC,12.189902958744900,254879583.51651700,144997596.45610400
2021-11-12 00:00:00 UTC,13.948682421688100,298003767.84632600,149289479.24740300
2021-11-13 00:00:00 UTC,12.923077225200300,273771647.7979800,65945073.41266610
2021-11-14 00:00:00 UTC,13.106149518026800,276791541.50202500,29970155.319585100
2021-11-15 00:00:00 UTC,12.927552069901800,273312503.77698700,18557700.98869120
2021-11-16 00:00:00 UTC,14.165042518177500,300016775.0906490,104652773.80836100
2021-11-17 00:00:00 UTC,13.535272520401300,289787766.5318390,76040148.39464110
2021-11-18 00:00:00 UTC,14.827174594635000,313798941.924071,79759479.326099
2021-11-19 00:00:00 UTC,12.837067722468800,271860211.87426100,31329556.511810300
2021-11-20 00:00:00 UTC,13.12147163932090,277311653.2851420,17819424.103536700
2021-11-21 00:00:00 UTC,13.093094348834800,276838408.01817100,14381518.199362200
2021-11-22 00:00:00 UTC,13.429397881837500,283926849.1229510,34994544.63448010
2021-11-23 00:00:00 UTC,12.470070675873600,264568183.15976600,17353163.83420340
2021-11-24 00:00:00 UTC,12.334478493629500,260820892.66706300,20070425.768935600
2021-11-25 00:00:00 UTC,11.642338823362300,246755621.35727800,16554813.26050310
2021-11-26 00:00:00 UTC,11.829595723438200,250807679.87542700,9612303.19336596
2021-11-27 00:00:00 UTC,11.431245374178300,241185246.33076600,36530521.128536
2021-11-28 00:00:00 UTC,16.892074640452300,358189642.7075120,745927024.6631290
2021-11-29 00:00:00 UTC,14.740129401775800,313163933.00323200,124930307.42479200
2021-11-30 00:00:00 UTC,14.432910004026800,368035049.7074170,61701935.92746950
2021-12-01 00:00:00 UTC,13.95983563304010,355868387.11026700,35615288.62924910
2021-12-02 00:00:00 UTC,13.921874661767200,355028296.77046900,106079514.46294000
2021-12-03 00:00:00 UTC,12.821390570308500,327395601.8229420,57918175.704525000
